model,ens,exp,postprocess,table,grid,varn,period,mean
CAMS-CSM1-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2040,1.07
CNRM-ESM2-1,r1i1p1f2,ssp119,global_mean,Amon,gr,tas,2021-2040,1.32
CanESM5,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2040,2.16
EC-Earth3-Veg-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2021-2040,1.54
EC-Earth3-Veg,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2021-2040,2.02
EC-Earth3,r4i1p1f1,ssp119,global_mean,Amon,gr,tas,2021-2040,1.81
FGOALS-g3,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2040,1.30
GFDL-ESM4,r1i1p1f1,ssp119,global_mean,Amon,gr1,tas,2021-2040,1.24
GISS-E2-1-G,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2021-2040,1.47
IPSL-CM6A-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2021-2040,1.85
MIROC6,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2040,1.10
MIROC-ES2L,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2021-2040,1.28
MRI-ESM2-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2021-2040,1.51
UKESM1-0-LL,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2021-2040,1.77
CAMS-CSM1-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2060,1.12
CNRM-ESM2-1,r1i1p1f2,ssp119,global_mean,Amon,gr,tas,2041-2060,1.43
CanESM5,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2060,2.38
EC-Earth3-Veg-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2041-2060,1.62
EC-Earth3-Veg,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2041-2060,2.09
EC-Earth3,r4i1p1f1,ssp119,global_mean,Amon,gr,tas,2041-2060,2.00
FGOALS-g3,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2060,1.22
GFDL-ESM4,r1i1p1f1,ssp119,global_mean,Amon,gr1,tas,2041-2060,1.25
GISS-E2-1-G,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2041-2060,1.69
IPSL-CM6A-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2041-2060,2.10
MIROC6,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2060,1.24
MIROC-ES2L,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2041-2060,1.42
MRI-ESM2-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2041-2060,1.68
UKESM1-0-LL,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2041-2060,2.19
CAMS-CSM1-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2100,0.96
CNRM-ESM2-1,r1i1p1f2,ssp119,global_mean,Amon,gr,tas,2081-2100,1.47
CanESM5,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2100,2.20
EC-Earth3-Veg-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2081-2100,1.50
EC-Earth3-Veg,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2081-2100,2.12
EC-Earth3,r4i1p1f1,ssp119,global_mean,Amon,gr,tas,2081-2100,1.91
FGOALS-g3,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2100,1.10
GFDL-ESM4,r1i1p1f1,ssp119,global_mean,Amon,gr1,tas,2081-2100,1.00
GISS-E2-1-G,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2081-2100,1.61
IPSL-CM6A-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2081-2100,1.76
MIROC6,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2100,1.08
MIROC-ES2L,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2081-2100,1.23
MRI-ESM2-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2081-2100,1.37
UKESM1-0-LL,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2081-2100,2.17
CAMS-CSM1-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2016-2035,0.99
CNRM-ESM2-1,r1i1p1f2,ssp119,global_mean,Amon,gr,tas,2016-2035,1.23
CanESM5,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2016-2035,2.03
EC-Earth3-Veg-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2016-2035,1.42
EC-Earth3-Veg,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2016-2035,1.93
EC-Earth3,r4i1p1f1,ssp119,global_mean,Amon,gr,tas,2016-2035,1.69
FGOALS-g3,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2016-2035,1.25
GFDL-ESM4,r1i1p1f1,ssp119,global_mean,Amon,gr1,tas,2016-2035,1.15
GISS-E2-1-G,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2016-2035,1.31
IPSL-CM6A-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2016-2035,1.70
MIROC6,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2016-2035,1.02
MIROC-ES2L,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2016-2035,1.14
MRI-ESM2-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2016-2035,1.38
UKESM1-0-LL,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2016-2035,1.57
CAMS-CSM1-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2046-2065,1.13
CNRM-ESM2-1,r1i1p1f2,ssp119,global_mean,Amon,gr,tas,2046-2065,1.43
CanESM5,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2046-2065,2.39
EC-Earth3-Veg-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2046-2065,1.58
EC-Earth3-Veg,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2046-2065,2.13
EC-Earth3,r4i1p1f1,ssp119,global_mean,Amon,gr,tas,2046-2065,2.01
FGOALS-g3,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2046-2065,1.16
GFDL-ESM4,r1i1p1f1,ssp119,global_mean,Amon,gr1,tas,2046-2065,1.23
GISS-E2-1-G,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2046-2065,1.70
IPSL-CM6A-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2046-2065,2.08
MIROC6,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2046-2065,1.23
MIROC-ES2L,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2046-2065,1.38
MRI-ESM2-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2046-2065,1.64
UKESM1-0-LL,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2046-2065,2.23
CAMS-CSM1-0,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2011-2020,0.91
CNRM-ESM2-1,r1i1p1f2,ssp119,global_mean,Amon,gr,tas,2011-2020,1.08
CanESM5,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2011-2020,1.86
EC-Earth3-Veg-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2011-2020,1.31
EC-Earth3-Veg,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2011-2020,1.79
EC-Earth3,r4i1p1f1,ssp119,global_mean,Amon,gr,tas,2011-2020,1.58
FGOALS-g3,r1i1p1f1,ssp119,global_mean,Amon,gn,tas,2011-2020,1.22
GFDL-ESM4,r1i1p1f1,ssp119,global_mean,Amon,gr1,tas,2011-2020,1.01
GISS-E2-1-G,r1i1p1f2,ssp119,global_mean,Amon,gn,tas,2011-2020,1.14
IPSL-CM6A-LR,r1i1p1f1,ssp119,global_mean,Amon,gr,tas,2011-2020,1.54
